GeneSymbol,17-002,17-003,17-004
znf174,0.441604705,,
znf175,0.656601863,,
znf177,0.666203279,,
znf18,0.575335115,,
znf180,0.579337155,,
znf181,0.622440203,,
znf182,0.458805964,,
znf184,0.256778204,,
znf185,0.927612558,,
znf187,0.658792293,,
znf189,0.557996838,,
znf19,0.578809746,,
znf192,0.446539806,,
znf193,0.636301246,,
znf195,0.321131195,,
znf197,0.618403551,,
znf2,0.75982643,,
znf20,0.515973755,,
znf200,0.420016398,,
znf202,0.698852388,,
znf204,0.644268819,,
znf205,0.369885293,,
znf207,0.493062376,,
znf208,0.494587207,,
znf211,0.431231428,,
znf212,0.287653942,,
znf213,0.479708584,,
znf214,0.354695384,,
znf215,0.638427626,,
znf217,0.717564334,,
znf219,0.482800919,,
znf22,0.298963514,,
znf221,0.680873893,,
znf222,0.70230661,,
znf223,0.910518281,,
znf224,0.476331292,,
znf225,0.568447215,,
znf226,0.312766116,,
znf227,0.426918018,,
znf229,0.617877035,,
znf23,0.104051966,,
znf230,0.641294793,,
znf232,0.330678679,,
znf233,0.635042021,,
znf234,0.554301064,,
znf235,0.356801339,,
znf236,0.600326383,,
znf238,0.419668095,,
znf239,0.523778923,,
znf24,0.21776186,,
znf248,0.287728378,,
znf25,0.412683543,,
znf250,0.798603031,,
znf251,0.824216907,,
znf252,0.142124916,,
znf253,0.349909858,,
znf254,0.40991005,,
znf256,0.37477437,,
znf257,0.6605615,,
znf259,0.115602679,,
znf26,0.162707849,,
znf260,0.592297342,,
znf263,0.209378699,,
znf264,0.853433543,,
znf266,0.025456525,,
znf267,0.404541405,,
znf268,0.432927684,,
znf271,0.436354631,,
znf273,0.661070555,,
znf274,0.593173586,,
znf275,0.122168189,,
znf276,0.516301414,,
znf277,0.737019464,,
znf28,0.539201596,,
znf280a,0.689609736,,
znf280b,0.418717359,,
znf280c,0.490238732,,
znf280d,0.274498812,,
znf281,0.883043335,,
znf282,0.80287653,,
znf283,0.480924178,,
znf284,0.575913806,,
znf285a,0.440835961,,
znf285b,0.657559857,,
znf286a,0.689843918,,
znf286c,0.342776943,,
znf287,0.609369218,,
znf292,0.261996598,,
znf295,0.20411324,,
znf296,0.8344357,,
znf3,0.380348671,,
znf30,0.669795827,,
znf300,0.64134184,,
znf302,0.538885968,,
znf304,0.798426459,,
znf311,0.646852793,,
znf317,0.047311309,,
znf318,0.538895416,,
znf319,0.124918975,,
znf32,0.058600636,,
znf320,0.587817958,,
znf321,0.605723338,,
znf322a,0.520923862,,
znf322b,0.488442722,,
znf323,0.411862298,,
znf324,0.077801726,,
znf324b,0.626550577,,
znf326,0.211309227,,
znf329,0.608864595,,
znf330,0.878162316,,
znf331,0.520085717,,
znf333,0.642936113,,
znf334,0.730947721,,
znf335,0.195546821,,
znf337,0.0667633,,
znf33a,0.186747161,,
znf33b,0.222831322,,
znf34,0.447516948,,
znf341,0.590013491,,
znf343,0.489470319,,
znf345,0.651786488,,
znf346,0.498647631,,
znf347,0.550831695,,
znf35,0.528872838,,
znf350,0.427319987,,
znf354a,0.612085586,,
znf354b,0.581825879,,
znf354c,0.44496787,,
znf358,0.897282483,,
znf362,0.893110317,,
znf364,0.383670779,,
znf365,0.602892102,,
znf366,0.618552529,,
znf367,0.549443299,,
znf37a,0.648612474,,
znf37b,0.543924102,,
znf382,0.448919232,,
znf383,0.477820858,,
znf384,0.32963001,,
znf385a,0.282542783,,
znf385b,0.351586939,,
znf385c,0.716036559,,
znf385d,0.557788276,,
znf391,0.581658406,,
znf394,0.933165982,,
znf395,0.843156765,,
znf396,0.654862239,,
znf397,0.626910709,,
znf397os,0.540876286,,
znf398,0.293319251,,
znf404,0.576326489,,
znf407,0.076988552,,
znf408,0.158686278,,
znf409,0.639899753,,
znf41,0.603043105,,
znf410,0.388171638,,
znf414,0.604591116,,
znf415,0.430094995,,
znf416,0.484483213,,
znf417,0.570808627,,
znf418,0.453023782,,
znf419,0.599937934,,
znf420,0.500946201,,
znf423,0.635242766,,
znf425,0.458191294,,
znf426,0.544177745,,
znf428,0.87873628,,
znf429,0.611320658,,
znf43,0.766107583,,
znf430,0.937746526,,
znf431,0.83808094,,
znf432,0.498816936,,
znf433,0.704220269,,
znf434,0.498128178,,
znf436,0.466500809,,
znf438,0.699803368,,
znf439,0.417681705,,
znf44,0.641139449,,
znf440,0.380948424,,
znf441,0.625579308,,
znf442,0.431173102,,
znf443,0.567159684,,
znf444,0.330807857,,
znf445,0.654306568,,
znf446,0.724525398,,
znf449,0.606909214,,
znf45,0.596647745,,
znf451,0.033533204,,
znf452,0.505963863,,
znf454,0.680939228,,
znf460,0.55060415,,
znf461,0.694170706,,
znf462,0.712657122,,
znf467,0.797751914,,
znf468,0.300000532,,
znf469,0.785433482,,
